site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
ZolxgSyWlBaWe5oiSTC3305TdNCNT0nWnEOoTMbUDD8,Hamburg,22761,Hamburg,DECPI,ChargePoint Germany GmbH,9.917984,53.569486,0,0.0,0.0,0.0,,,,,,
ZqNxNGvL-xCDeWIL9AfkdoPaKB4g143sulVwmKAOeTk,Hamburg,20537,Hamburg,DE2GO,EWEGo,10.046026,53.552314,1,1.0,0.0,0.0,fast_food,False,False,False,False,Domino's
Zr1qgPo_-0Ro8m8MTEEdSLj9CGZjCJZRlRKBQfAS6o4,Hamburg,20095,Hamburg,DEHHM,Hamburger Energiewerke,10.00487,53.5489,1,0.0,0.0,1.0,supermarket,False,False,False,False,
Zr3x3dRob9S3pdKK9C4BR5bUzasVRtjp7jqUDBOQvYw,Hamburg,22335,Hamburg,DEHHM,Hamburger Energiewerke,10.021765,53.627,0,0.0,0.0,0.0,,,,,,
Zx2kK0yQGC0IfLhlGg5qjZBVARX4pxlqq2aZg_kgjJA,Hamburg,22399,Hamburg,DEHHM,Hamburger Energiewerke,10.082451,53.660312,3,3.0,0.0,0.0,fast_food,False,False,False,False,
Zx2kK0yQGC0IfLhlGg5qjZBVARX4pxlqq2aZg_kgjJA,Hamburg,22399,Hamburg,DEHHM,Hamburger Energiewerke,10.082451,53.660312,3,3.0,0.0,0.0,fast_food,False,False,False,False,
Zx2kK0yQGC0IfLhlGg5qjZBVARX4pxlqq2aZg_kgjJA,Hamburg,22399,Hamburg,DEHHM,Hamburger Energiewerke,10.082451,53.660312,3,3.0,0.0,0.0,fast_food,False,False,False,False,
_63LErixU4Hx6l4Ho4smudMTNNitmv8wpbU_koQZm9c,Hamburg,22083,Hamburg,DEHHM,Hamburger Energiewerke,10.03121,53.579202,4,4.0,0.0,0.0,fast_food,False,False,False,True,
_63LErixU4Hx6l4Ho4smudMTNNitmv8wpbU_koQZm9c,Hamburg,22083,Hamburg,DEHHM,Hamburger Energiewerke,10.03121,53.579202,4,4.0,0.0,0.0,fast_food,False,False,True,False,
_63LErixU4Hx6l4Ho4smudMTNNitmv8wpbU_koQZm9c,Hamburg,22083,Hamburg,DEHHM,Hamburger Energiewerke,10.03121,53.579202,4,4.0,0.0,0.0,fast_food,False,False,False,False,
_63LErixU4Hx6l4Ho4smudMTNNitmv8wpbU_koQZm9c,Hamburg,22083,Hamburg,DEHHM,Hamburger Energiewerke,10.03121,53.579202,4,4.0,0.0,0.0,fast_food,False,False,False,False,
_AdknbJ962SVDMf0YGvwMACA27pDdooLQBjWvA9IRCs,Hamburg,20539,Hamburg,DEHHM,Hamburger Energiewerke,10.038462,53.534019,2,1.0,0.0,1.0,supermarket,False,False,False,False,
_AdknbJ962SVDMf0YGvwMACA27pDdooLQBjWvA9IRCs,Hamburg,20539,Hamburg,DEHHM,Hamburger Energiewerke,10.038462,53.534019,2,1.0,0.0,1.0,supermarket,False,False,False,False,Penny
_C7Lo7u5UUiQU5np7u4BrA1hIn0E9LN99BqsDZchLxg,Hamburg,20357,Hamburg,DE455,Hamburg Messe und Congress GmbH,9.975372,53.563744,0,0.0,0.0,0.0,,,,,,
_GhX4JwJu40o3YkYufcZFSS9GQ6oT2w3PuMpz5Q9ya8,Hamburg,22765,Hamburg,DETNM,Shell Recharge,9.93329,53.55328,5,2.0,0.0,3.0,supermarket,False,False,True,False,Burger King
_GhX4JwJu40o3YkYufcZFSS9GQ6oT2w3PuMpz5Q9ya8,Hamburg,22765,Hamburg,DETNM,Shell Recharge,9.93329,53.55328,5,2.0,0.0,3.0,supermarket,False,False,False,False,
_GhX4JwJu40o3YkYufcZFSS9GQ6oT2w3PuMpz5Q9ya8,Hamburg,22765,Hamburg,DETNM,Shell Recharge,9.93329,53.55328,5,2.0,0.0,3.0,supermarket,False,False,False,False,Edeka
_GhX4JwJu40o3YkYufcZFSS9GQ6oT2w3PuMpz5Q9ya8,Hamburg,22765,Hamburg,DETNM,Shell Recharge,9.93329,53.55328,5,2.0,0.0,3.0,supermarket,False,False,False,False,Alnatura
_GhX4JwJu40o3YkYufcZFSS9GQ6oT2w3PuMpz5Q9ya8,Hamburg,22765,Hamburg,DETNM,Shell Recharge,9.93329,53.55328,5,2.0,0.0,3.0,supermarket,False,False,False,False,Aldi Nord
_ICy9otz3pog5LDjN-i9Ckjyn6siGdMdpQo_KM7k9eY,Hamburg,22547,Hamburg,DEHHM,Hamburger Energiewerke,9.887041,53.6013,1,0.0,0.0,1.0,supermarket,False,False,False,False,PENNY
_LzuesxSxdyxCHnnwWdjSDtL2dQCmRe0m6LWfIZsyWQ,Hamburg,22529,Hamburg,DEMER,MER,9.959686,53.582258,0,0.0,0.0,0.0,,,,,,
_MvGsFepLfbGcmnU3ieUj87Rc_ixM7ixvRwLJsCILDc,Hamburg,21035,Hamburg,DEHHM,Hamburger Energiewerke,10.17926,53.48683,3,2.0,0.0,1.0,fast_food,False,False,False,False,Call a Pizza
_MvGsFepLfbGcmnU3ieUj87Rc_ixM7ixvRwLJsCILDc,Hamburg,21035,Hamburg,DEHHM,Hamburger Energiewerke,10.17926,53.48683,3,2.0,0.0,1.0,fast_food,False,False,False,False,
_MvGsFepLfbGcmnU3ieUj87Rc_ixM7ixvRwLJsCILDc,Hamburg,21035,Hamburg,DEHHM,Hamburger Energiewerke,10.17926,53.48683,3,2.0,0.0,1.0,fast_food,False,False,False,False,EDEKA
_RSZgFShfoqahNvR47QrEv-GTFvWlqq2jJ5ZI9CoYBE,Hamburg,22159,Hamburg,DEHHM,Hamburger Energiewerke,10.101829,53.597641,2,1.0,0.0,1.0,fast_food,False,False,True,False,
_RSZgFShfoqahNvR47QrEv-GTFvWlqq2jJ5ZI9CoYBE,Hamburg,22159,Hamburg,DEHHM,Hamburger Energiewerke,10.101829,53.597641,2,1.0,0.0,1.0,fast_food,False,True,False,False,EDEKA
