id,locality,postalCode,state,streetAddress,geoCoordinates,operatorId,operatorName
FWP5UEILNKVbgVClrOGHWFbyLMjUgc3WuM3qpLbr9eQ,Hamburg,22767,Hamburg,Lawaetzweg 4,"[9.94326,53.55116]",DEEDR,E.ON Drive
F_3jTtpaWh_6iVPqGT1mOsmweEfjZsmaA4jRt_QnHkQ,Hamburg,22143,Hamburg,Rahlstedter Kamp 44,"[10.173768,53.608307]",DEHHM,Hamburger Energiewerke
Fa5xy8J21hKcIzvNIaJZrvxAOctdX4JR5oafhmSS9C8,Hamburg,20355,Hamburg,Holstenwall 10,"[9.977067,53.553492]",DEHHM,Hamburger Energiewerke
Fbjii8LDBL8tBOEj3LPjqgvzKyRs4_gpGx89BF0WrJ0,Hamburg,20097,Hamburg,Banksstr 26,"[10.01168,53.545]",DEHHM,Hamburger Energiewerke
FgcaiIzjPqiSNNPXG9IyciIld33QC1Wb7iCQ5q5lkjw,Hamburg,21129,Hamburg,Hein-Saß-Weg 23,"[9.86455,53.53677]",DEMDS,Mennekes
Fho1pGkk8t71JEFUGfu0RXEzR6mBYXhSO0fFiUegxCQ,Hamburg,22179,Hamburg,Hegholt 3,"[10.078873,53.601205]",DEHHM,Hamburger Energiewerke
FhxhvXFKmfWnTxHf3KbTEkKYtP7hPD9sC7WvA-tuWtY,Hamburg,20537,Hamburg,160 Wendenstraße,"[10.03643,53.54868]",DECPI,ChargePoint Germany GmbH
FlkpaFf818b2dhtYUc0fPY1Vh68ktgpWL749HYNXyHc,Hamburg,22303,Hamburg,Schinkelstraße 1,"[10.01352,53.581918]",DEHHM,Hamburger Energiewerke
Fm_u32Zllk5rMdZV7IdxSbPIumOdqdIhBdzsQXGSVMg,Hamburg,20253,Hamburg,Unnastraße 48,"[9.958638,53.579777]",DEMER,MER
FnmvifOOYi8qXJf9myolPVLkwl7sgLz3-VvRLOUM9fQ,Hamburg,20251,Hamburg,Martinistraße 72,"[9.975111,53.588684]",DEHHM,Hamburger Energiewerke
FoIPSmlz8YyJgrub5Uug9-gH3EnOGaEX2lM0-QfxZAw,Hamburg,21033,Hamburg,Friedrich-Frank-Bogen 22,"[10.179305,53.494055]",DEWLN,Wirelane
FovLCVUDruQi0QeFqxwqacofYtkZ8EHH77sMZxYXJBs,Hamburg,22559,Hamburg,Suurheid 20,"[9.77233,53.582267]",DEHHM,Hamburger Energiewerke
FtbOiU-0RjAwk6elI9-NFYHoeBbMdCkw8uI7Vh-nDJE,Hamburg,22177,Hamburg,Fabriciusstraße 99,"[10.062858,53.60245]",DEHHM,Hamburger Energiewerke
Fu9W0pdeOjub7IgN3V0k1TwAkPCGFjMkdTAt0mZWN_A,Hamburg,22605,Hamburg,Holztwiete 22,"[9.8734,53.54787]",DEQRM,Qwello
G35stYZArU517veijC6QA7Z27_bBRjNloNi-p7lUn7A,Hamburg,20537,Hamburg,Wikingerweg 2,"[10.031635,53.551948]",DEHHM,Hamburger Energiewerke
G5DKV80Moxwhq-AL6XI9SaaE7OflcFfYmeQuiokvNJo,Hamburg,21033,Hamburg,Kurt-A.-Körber-Chaussee 22,"[10.196303,53.48897]",DEHHM,Hamburger Energiewerke
G8L5SyPLuGu00xGc7KHixFpEJaVBS3brqeT95FtEzAA,Hamburg,22117,Hamburg,Merkenstraße 34,"[10.127741,53.54301]",DEHHM,Hamburger Energiewerke
G9L45eX8zH1gUaNsadenVJruP3pOVjTRazdPOZUJMEY,Hamburg,22397,Hamburg,Tannenhof 52,"[10.093855,53.686234]",DEHHM,Hamburger Energiewerke
GHMJ03V6YARYSXiSAXRsiQE0l0Rg8J838XoA3ILAal4,Hamburg,22525,Hamburg,Warnstedtstraße 6,"[9.93181,53.58308]",DEJEG,Jolt Energy
